id,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,neighbourhood_cd
5121,Brooklyn,40.68535,-73.95512,Private room,60,30,50,0.3,2,365,108.0
5203,Manhattan,40.8038,-73.96751,Private room,75,2,118,0.72,1,0,126.0
5136,Brooklyn,40.66265,-73.99454,Entire home/apt,275,60,3,0.03,1,181,109.0
29628,Brooklyn,40.68292,-73.96381,Private room,93,3,350,2.25,1,145,107.0
5586,Manhattan,40.76076,-73.96156,Entire home/apt,295,4,45,0.27,1,1,142.0
5803,Brooklyn,40.66801,-73.98784,Private room,124,3,223,1.32,3,164,109.0
31130,Manhattan,40.7672,-73.98464,Private room,200,1,68,0.44,4,310,137.0
6848,Brooklyn,40.70935,-73.95342,Entire home/apt,81,30,189,1.13,1,207,98.0
6872,Manhattan,40.80107,-73.94255,Private room,65,30,1,0.11,2,204,152.0
67288,Manhattan,40.79544,-73.94836,Entire home/apt,250,28,47,0.37,1,81,148.0
31555,Manhattan,40.73405,-74.00281,Entire home/apt,120,30,32,0.22,1,0,130.0
67299,Brooklyn,40.71516,-73.96448,Entire home/apt,160,30,74,0.51,1,77,98.0
31902,Brooklyn,40.6327,-73.93184,Private room,80,30,4,0.03,1,0,51.0
68253,Queens,40.76336,-73.92099,Private room,55,30,0,0.0,1,0,223.0
6990,Manhattan,40.78778,-73.94759,Private room,62,30,243,1.49,1,249,148.0
31994,Brooklyn,40.68818,-73.96383,Private room,100,2,532,3.45,2,289,80.0
32037,Brooklyn,40.68513,-73.96648,Private room,139,30,93,0.61,1,364,80.0
7064,Brooklyn,40.71248,-73.95881,Private room,95,7,13,0.09,2,0,98.0
68735,Manhattan,40.78846,-73.97459,Entire home/apt,215,14,36,0.26,1,184,124.0
68900,Brooklyn,40.73094,-73.95484,Private room,100,30,7,0.07,1,362,62.0
33009,Brooklyn,40.71512,-73.95899,Entire home/apt,195,30,291,1.89,1,92,98.0
68974,Manhattan,40.72,-73.99487,Entire home/apt,596,2,236,1.61,1,21,147.0
7097,Brooklyn,40.691233,-73.972702,Private room,205,2,323,2.02,2,307,80.0
33156,Manhattan,40.78763,-73.96862,Entire home/apt,139,120,20,0.14,1,0,124.0
7801,Brooklyn,40.71778,-73.9568,Entire home/apt,395,30,9,0.05,1,365,98.0
36121,Brooklyn,40.67376,-73.96611,Private room,95,90,9,0.06,1,174,55.0
69894,Manhattan,40.77845,-73.98295,Entire home/apt,160,30,63,0.48,1,67,124.0
36647,Manhattan,40.79128,-73.94125,Private room,82,7,73,0.48,1,267,146.0
71010,Manhattan,40.83403,-73.93951,Entire home/apt,332,4,40,0.34,2,309,135.0
8490,Brooklyn,40.68462,-73.93839,Entire home/apt,127,2,173,1.05,2,288,108.0
9357,Manhattan,40.76724,-73.98664,Entire home/apt,175,30,58,0.35,1,0,137.0
36703,Manhattan,40.73271,-74.00367,Entire home/apt,200,45,143,0.93,1,186,130.0
36934,Brooklyn,40.71371,-73.96203,Entire home/apt,150,6,29,0.19,1,33,98.0
38663,Brooklyn,40.68442,-73.98068,Entire home/apt,900,3,42,0.32,1,212,106.0
10452,Brooklyn,40.68294,-73.95682,Private room,90,30,82,0.52,5,241,107.0
71248,Manhattan,40.7159,-73.99156,Entire home/apt,107,15,60,0.41,1,26,136.0
71366,Manhattan,40.72997,-74.00196,Entire home/apt,200,30,45,0.34,1,202,157.0
38833,Manhattan,40.81800842285156,-73.94669342041016,Entire home/apt,99,7,156,1.02,1,74,154.0
39282,Brooklyn,40.71065139770508,-73.95087432861328,Private room,150,4,251,1.64,2,14,98.0
