arrest_key,arrest_date,pd_desc,ofns_desc,law_code,law_cat_cd,age_group,perp_sex,perp_race,latitude,longitude,arrest_boro,arrest_precinct,jurisdiction_code,Community District,Borough Boundaries,City Council Districts,Police Precincts,neighbourhood_group,neighbourhood_cd
192799737,2019-01-26,SEXUAL ABUSE,SEX CRIMES,PL 1306503,Felony,45-64,M,BLACK,40.800694331000045,-73.94110928599997,M,25,0.0,7.0,4.0,36.0,16.0,Manhattan,152.0
193260691,2019-02-06,CRIMINAL SALE OF A CONTROLLED SUBSTANCE,CONTROLLED SUBSTANCES OFFENSES,PL 2203400,Felony,25-44,M,UNKNOWN,40.75783900300007,-73.99121211099998,M,14,0.0,12.0,4.0,10.0,8.0,Manhattan,137.0
149117452,2016-01-06,RAPE 3,RAPE,PL 1302503,Felony,25-44,M,BLACK,40.64865008500004,-73.95033556299995,K,67,0.0,61.0,2.0,11.0,40.0,Brooklyn,66.0
190049060,2018-11-15,RAPE 1,RAPE,PL 1303501,Felony,25-44,M,BLACK,40.67458330800008,-73.93022154099998,K,77,0.0,16.0,2.0,49.0,49.0,Brooklyn,108.0
24288194,2006-09-13,"TRESPASS 3, CRIMINAL",CRIMINAL TRESPASS,PL 140100E,Misdemeanor,45-64,M,BLACK,40.67125445700003,-73.926713851,K,77,2.0,16.0,2.0,49.0,49.0,Brooklyn,88.0
189182271,2018-10-24,RAPE 3,RAPE,PL 1302503,Felony,45-64,M,WHITE HISPANIC,40.716195914000025,-73.99749074599998,M,5,0.0,70.0,4.0,32.0,2.0,Manhattan,136.0
196324211,2019-04-23,RAPE 1,RAPE,PL 1303501,Felony,45-64,M,BLACK HISPANIC,40.67458330800008,-73.93022154099998,K,77,0.0,16.0,2.0,49.0,49.0,Brooklyn,108.0
196785901,2019-05-04,"SEXUAL ABUSE 3,2",SEX CRIMES,PL 13052A1,Misdemeanor,25-44,M,BLACK,40.883382579000056,-73.90233330899997,B,50,0.0,48.0,5.0,40.0,33.0,Bronx,13.0
189129210,2018-10-23,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200000,Misdemeanor,25-44,M,WHITE HISPANIC,40.76443435900006,-73.988265529,M,18,0.0,12.0,4.0,10.0,10.0,Manhattan,137.0
189176315,2018-10-24,UNAUTHORIZED SALE OF TRANSPORTATION SERVICES,THEFT,PL 1651601,Misdemeanor,25-44,M,BLACK,40.80777512600008,-73.94547028299998,M,28,1.0,18.0,4.0,36.0,18.0,Manhattan,151.0
199836526,2019-07-16,STRANGULATION 1ST,FELONY ASSAULT,PL 1211200,Felony,45-64,M,BLACK,40.67549172900004,-73.80092613699998,Q,113,0.0,41.0,3.0,46.0,71.0,Queens,274.0
189228258,2018-10-26,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,PL 2300000,Misdemeanor,18-24,F,WHITE,40.707239816000026,-73.79272672599996,Q,103,0.0,41.0,3.0,6.0,61.0,Queens,248.0
189863002,2018-11-11,SEXUAL ABUSE 1,SEX CRIMES,PL 1306502,Felony,<18,M,BLACK,40.62797775500008,-73.94164715699996,K,63,0.0,5.0,2.0,26.0,38.0,Brooklyn,50.0
192148546,2019-01-10,SODOMY 1,SEX CRIMES,PL 1305003,Felony,25-44,M,BLACK,40.67110691100004,-73.88143295699996,K,75,0.0,45.0,2.0,25.0,47.0,Brooklyn,89.0
189476017,2018-11-01,WEAPONS POSSESSION 3,DANGEROUS WEAPONS,PL 2650201,Felony,25-44,M,WHITE,40.61797007100006,-74.03033045599993,K,68,0.0,10.0,2.0,44.0,41.0,Brooklyn,61.0
201100692,2019-08-14,STRANGULATION 1ST,FELONY ASSAULT,PL 1211200,Felony,25-44,M,BLACK,40.78934789300007,-73.94735241299998,M,23,0.0,7.0,4.0,35.0,14.0,Manhattan,148.0
189259155,2018-10-26,"SEXUAL ABUSE 3,2",SEX CRIMES,PL 13052A1,Misdemeanor,<18,M,BLACK,40.64865008500004,-73.95033556299995,K,67,0.0,61.0,2.0,11.0,40.0,Brooklyn,66.0
74763647,2010-09-24,RAPE 3,RAPE,PL 1302502,Felony,45-64,M,WHITE HISPANIC,40.800694331000045,-73.94110928599997,M,25,0.0,7.0,4.0,36.0,16.0,Manhattan,152.0
192334397,2019-01-15,"SEXUAL ABUSE 3,2",SEX CRIMES,PL 13052A1,Misdemeanor,<18,M,BLACK,40.71650772200008,-73.98391989899994,M,7,0.0,70.0,4.0,32.0,4.0,Manhattan,136.0
190140531,2018-11-18,RAPE 3,RAPE,PL 1302501,Felony,18-24,M,WHITE HISPANIC,40.83732351100008,-73.91983075699994,B,44,0.0,50.0,5.0,42.0,27.0,Bronx,29.0
203540310,2019-10-10,SODOMY 3,SEX CRIMES,PL 1304003,Felony,25-44,M,WHITE HISPANIC,40.736698070000045,-73.98331602599995,M,13,1.0,71.0,4.0,50.0,7.0,Manhattan,159.0
24028025,2006-08-25,"STOLEN PROPERTY 3,POSSESSION",POSSESSION OF STOLEN PROPERTY 5,PL 1654000,Misdemeanor,25-44,M,BLACK,40.86812253100004,-73.83136390999994,B,45,0.0,43.0,5.0,2.0,28.0,Bronx,26.0
191717184,2019-01-01,STRANGULATION 1ST,FELONY ASSAULT,PL 1211200,Felony,45-64,F,WHITE,40.62991922600003,-74.00640337899995,K,68,0.0,10.0,2.0,7.0,41.0,Brooklyn,94.0
24225484,2006-09-09,"CONTROLLED SUBSTANCE, POSSESSION 7",DANGEROUS DRUGS,PL 2200300,Misdemeanor,25-44,M,BLACK,40.66313454000005,-73.95089428399997,K,71,0.0,17.0,2.0,11.0,44.0,Brooklyn,56.0
192038498,2019-01-08,RECKLESS ENDANGERMENT 1,MISCELLANEOUS PENAL LAW,PL 1202500,Felony,18-24,M,BLACK,40.60269922100008,-73.76300278499997,Q,101,0.0,51.0,3.0,47.0,59.0,Queens,189.0
190042379,2018-11-15,"FORGERY,ETC.,UNCLASSIFIED-FELONY",FORGERY,PL 1701004,Felony,25-44,M,BLACK,40.66638495300003,-73.88320041399999,K,75,1.0,45.0,2.0,25.0,47.0,Brooklyn,89.0
192068590,2019-01-09,WEAPONS POSSESSION 3,DANGEROUS WEAPONS,PL 2650201,Felony,25-44,F,BLACK,40.62130534600004,-74.02896673699996,K,68,0.0,10.0,2.0,44.0,41.0,Brooklyn,61.0
23984804,2006-08-22,"MARIJUANA, POSSESSION 4 & 5",DANGEROUS DRUGS,PL 2211001,Misdemeanor,18-24,M,BLACK,40.67902677200004,-73.95082850299997,K,79,0.0,69.0,2.0,49.0,51.0,Brooklyn,108.0
189217178,2018-10-25,"SEXUAL ABUSE 3,2",SEX CRIMES,PL 13052A1,Misdemeanor,18-24,M,BLACK,40.60295159100008,-73.74997626099997,Q,101,0.0,51.0,3.0,47.0,59.0,Queens,190.0
189263596,2018-10-27,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,Misdemeanor,25-44,M,BLACK,40.82984786900005,-73.91355590099994,B,44,0.0,50.0,5.0,42.0,27.0,Bronx,31.0
